('37.86345056699618', '-122.28700683071217')
('37.856953478073905', '-122.26106031375467')
('37.8460008375378', '-122.2806943776035')
('37.83980581365596', '-122.25343812764989')
('37.85776614241128', '-122.23616019549134')
('37.84656307493585', '-122.2421607525737')
('37.882586441713784', '-122.27361286326338')
('37.8396513696548', '-122.28177850777254')
('37.88139664384887', '-122.28118304692585')
('37.85468874145362', '-122.2661162648757')
('37.87627082252957', '-122.27179178250425')
('37.86345791807842', '-122.26644768915445')
('37.8455390187002', '-122.2852441188302')
('37.857389120010644', '-122.26597071022385')
('37.88950888830305', '-122.26637079743111')
('37.85918039268128', '-122.2735101287623')
('37.84473026909188', '-122.2578694046646')
('37.88658675242856', '-122.26503590288196')
('37.85133256260144', '-122.27142940992523')
('37.856275010148146', '-122.26273831967481')
('37.85703511099372', '-122.26276321157329')
('37.836020065318145', '-122.26405422590834')
('37.87580547498563', '-122.26680642467721')
('37.85810644917232', '-122.2355345790914')
('37.84783865656123', '-122.27506835356174')
('37.8388904088726', '-122.24754357127632')
('37.888157609009646', '-122.27268300525716')
('37.845533166333006', '-122.28126243466667')
('37.852448173619955', '-122.26848698331347')
('37.86142276770851', '-122.25012925222165')
('37.882179137019364', '-122.2568680939698')
('37.85833329153374', '-122.25160293374002')
('37.83302254758375', '-122.25022554479789')
('37.836184450456905', '-122.24950093182538')
('37.84433277280094', '-122.26433069048683')
('37.863605679033164', '-122.25511155398235')
('37.83823900203447', '-122.26457605967244')
('37.847354221271374', '-122.28894938548663')
('37.85361879032254', '-122.25902277335047')
('37.87928621702215', '-122.26943285303082')
('37.8753130926937', '-122.26968194758348')
('37.83592679468943', '-122.26175176823116')
('37.85586852165725', '-122.26430645963265')
('37.83513100461963', '-122.255984959719')
('37.85329529462068', '-122.25016765943495')
('37.88559121996225', '-122.26779167899517')
('37.842494398079786', '-122.27674148439492')
('37.86159376542357', '-122.26527091702937')
('37.85890585949297', '-122.25748477917816')
('37.84900656245374', '-122.2667879976647')
('37.86039363280331', '-122.25412303676305')
('37.86225259292827', '-122.25950445524076')
('37.84052743052857', '-122.26522999423257')
('37.860945356984125', '-122.24978566634816')
('37.872338415734276', '-122.27082619984878')
('37.865365312434136', '-122.27412563493709')
('37.853172721262986', '-122.26000382848694')
('37.86862671128296', '-122.2736121916066')
('37.8902586290594', '-122.26719919828689')
('37.87971905336583', '-122.28220575814716')
('37.85227106743073', '-122.25485338449329')
('37.888299096041706', '-122.26176551092942')
('37.84900018324323', '-122.26137110585907')
('37.863334882029775', '-122.25677513494095')
('37.853302920859996', '-122.27703069954015')
('37.886374221382', '-122.2641833970357')
('37.87489144828107', '-122.28836034002398')
('37.85269949047151', '-122.26756688596461')
('37.84342351175482', '-122.26342109461359')
('37.84673528932243', '-122.28111230060618')
('37.85768895482918', '-122.26369252852793')
('37.86431923964094', '-122.26929002614811')
('37.860286939470186', '-122.25465146381592')
('37.844455954715066', '-122.28805139287793')
('37.85698038408194', '-122.29231244384822')
('37.87963036325295', '-122.27319481525059')
('37.84057130886261', '-122.25607318272888')
('37.876212634324894', '-122.2710160992592')
('37.857913787077266', '-122.2463445577632')
('37.844101208573804', '-122.27548351973056')
('37.86547929143083', '-122.27519710192976')
('37.86386119518431', '-122.29458720114339')
('37.8344771336139', '-122.26240450171076')
('37.86015314450893', '-122.26030914066767')
('37.87597543627462', '-122.26343824324661')
('37.84910071805408', '-122.28608717968741')
('37.86825830636455', '-122.27832318635828')
('37.847685726504416', '-122.24867640329148')
('37.843026204974734', '-122.27088182399483')
('37.85845168101377', '-122.26341285023972')
('37.870817062606285', '-122.27620347543716')
('37.868124004655286', '-122.27808156238001')
('37.85322359814765', '-122.26585913976979')
('37.847964188477626', '-122.27554759653697')
('37.86964897054914', '-122.2440292886824')
('37.877773839873115', '-122.261865835038')
('37.85370279968492', '-122.2769068433134')
('37.855505494077455', '-122.26587416139301')
('37.88006701216778', '-122.26545459682721')
('37.86290259692803', '-122.2803383682706')
('37.8576042303208', '-122.26594224880878')
('37.84575815243351', '-122.28696438046656')
('37.84862497734432', '-122.26612264980747')
('37.87584563431334', '-122.29039699931636')
('37.88445374469146', '-122.2553081388031')
('37.86172433592539', '-122.2674281182095')
('37.84010964403382', '-122.28232838788132')
('37.85351861355899', '-122.28614703341327')
('37.859819973208886', '-122.25590655837125')
('37.87957413076325', '-122.26277223570416')
('37.87804069077376', '-122.27580742300404')
('37.83758978745213', '-122.223266930121')
('37.84273291334923', '-122.26904248601448')
('37.870356802950106', '-122.27900075173507')
('37.87740773885125', '-122.27324399069694')
('37.833130150772476', '-122.25354636875737')
('37.882609414181736', '-122.27216948419193')
('37.886508087060776', '-122.25747117548221')
('37.846180680066645', '-122.28943255808227')
('37.874858768293585', '-122.28492515241554')
('37.87871647365406', '-122.27581473341888')
('37.882271140571234', '-122.26743370703882')
('37.86192658620276', '-122.29206834012734')
('37.870280937504816', '-122.28418625051984')
('37.87330936615715', '-122.2691666926925')
('37.88604933948328', '-122.26230402411107')
('37.83348302109493', '-122.26975077962774')
('37.8748976652229', '-122.27448879958007')
('37.861041080953584', '-122.26798887282783')
('37.86165114521371', '-122.26634472868473')
('37.83134222258581', '-122.25924648049586')
('37.8550862776183', '-122.26558128687944')
('37.877993783276445', '-122.26536701105378')
('37.89039802358945', '-122.27444317012394')
('37.88070914465262', '-122.28172536547326')
('37.861595763691504', '-122.27975042489476')
('37.847986918173255', '-122.26654781941157')
('37.85852922784224', '-122.26064593183068')
('37.88843398638726', '-122.26989978246242')
('37.85724767036927', '-122.26216160542658')
('37.86322882969385', '-122.28860898905698')
('37.8770717671026', '-122.26625722560341')
('37.851885404301015', '-122.2776280730856')
('37.846493480188414', '-122.26815534467106')
('37.85358513187214', '-122.24360347187059')
('37.83860468917853', '-122.28547935401818')
('37.879914459626185', '-122.28854462102275')
('37.86045430967793', '-122.25227162638355')
('37.84283213092368', '-122.26617063601347')
('37.85395514712852', '-122.22079376920993')
('37.84904225027837', '-122.2426204122388')
('37.86136626452436', '-122.28391911727702')
('37.869291979379405', '-122.27661389154242')
('37.860347768420425', '-122.28460912284064')
('37.86744136825265', '-122.24515933409636')
('37.88528902968612', '-122.25800639752867')
('37.876734821129574', '-122.2720653889628')
('37.87398380398021', '-122.2926679704379')
('37.843801029163345', '-122.25479792332276')
('37.88324530346286', '-122.26126045473522')
('37.838346277480206', '-122.2565077736078')
('37.85339931075194', '-122.28786195149938')
('37.86665665838466', '-122.29145593732281')
('37.87702148991651', '-122.26367040498052')
('37.87197531594371', '-122.27316765968682')
('37.863784951733216', '-122.27196420729551')
('37.8786610265082', '-122.26170554729909')
('37.87141810342315', '-122.28432948595804')
('37.83012494272315', '-122.25713957292687')
('37.83122744503179', '-122.2595424128086')
('37.853129449818496', '-122.26745439218315')
('37.842068194113565', '-122.28688386506428')
('37.86554113698215', '-122.27844814854319')
('37.86486383640732', '-122.29420543273208')
('37.841736252078334', '-122.25443388598204')
('37.83706290920652', '-122.25858758621129')
('37.861795304465865', '-122.25383706299935')
('37.83471312426792', '-122.2621210285358')
('37.845569150891784', '-122.24389343255946')
('37.87293326939298', '-122.2714202935994')
('37.87542602242499', '-122.26828680015898')
('37.88310922118878', '-122.27654727030293')
('37.836560325471304', '-122.26334018493667')
('37.86278430331212', '-122.26657298733605')
('37.85969609282741', '-122.27623713039141')
('37.84117586141012', '-122.25899324051424')
('37.868068468685074', '-122.27686726905996')
('37.882726594907716', '-122.2686979414835')
('37.883626076654636', '-122.28013176669462')
('37.85114514343674', '-122.25599265261134')
('37.88697794597936', '-122.25700873611224')
('37.854592408746285', '-122.25315887422913')
('37.87183707628615', '-122.28233746200264')
('37.88120808031532', '-122.26799369294814')
('37.85132775964683', '-122.264167928221')
('37.85433805578263', '-122.24086467726727')
('37.841638412518854', '-122.26763385001404')
('37.860014052485965', '-122.24533142292952')
('37.86033379948509', '-122.24575558709098')
('37.84185992411441', '-122.25969551824711')
('37.873135959253375', '-122.2805380190174')
('37.86314870179208', '-122.27924840157023')
('37.8756286786241', '-122.28805080437564')
('37.865193704346524', '-122.28279485544572')
('37.872720997390815', '-122.29185248591334')
('37.85240961244247', '-122.27085052809936')
('37.85073134652834', '-122.2495568808516')
('37.87437429205468', '-122.26761931177894')
('37.8424854438357', '-122.25654191838392')
('37.88833637903834', '-122.26495752224108')
('37.87278904348928', '-122.28107248516686')
('37.864074953260165', '-122.24952287129369')
('37.85957838938315', '-122.2503090788391')
('37.861554336776365', '-122.25386422816975')
('37.84851501236651', '-122.28692498091674')
('37.843786975104074', '-122.28497764614485')
('37.877820862505935', '-122.2857462774471')
('37.860369889201024', '-122.27065068976826')
('37.84224906440395', '-122.26232260145959')
('37.84435308296418', '-122.23683184772052')
('37.83255080464214', '-122.26327613788047')
('37.85764181176326', '-122.26275230366768')
('37.85609102548087', '-122.29215943863642')
('37.889985493243934', '-122.26283255882124')
('37.85903152007598', '-122.27226859416035')
('37.84921148154675', '-122.25571485160063')
('37.846782221303506', '-122.26015092661967')
('37.88098536030649', '-122.2730033458465')
('37.83295680357397', '-122.22263836910102')
('37.86500602560521', '-122.28960481460378')
('37.85979314466365', '-122.2724133196619')
('37.843585284286775', '-122.26717272763582')
('37.8452823118399', '-122.27558578386515')
('37.8509217412192', '-122.26563486699605')
('37.83743206484478', '-122.28537853952056')
('37.83125139998434', '-122.24672245837326')
('37.83730494912179', '-122.25897839668569')
('37.87705004431878', '-122.27146534872074')
('37.84065000125302', '-122.26654230736933')
('37.84329216359161', '-122.25515504811267')
('37.88788457015444', '-122.25060896205777')
('37.87749431655174', '-122.2641985850767')
('37.86850289137255', '-122.26724861690545')
('37.86490454329187', '-122.26291531369573')
('37.8588780684719', '-122.27071078117191')
('37.88815784468772', '-122.2555034788984')
('37.86612633767645', '-122.25429460955087')
('37.880708629765344', '-122.27347897058995')
('37.858027435748035', '-122.2634513325008')
('37.88148006009895', '-122.25983128654687')
('37.86046675418056', '-122.28485015914418')
('37.85817094081442', '-122.28732267936395')
('37.851524487796326', '-122.27325336911936')
('37.86323036545282', '-122.27923754981217')
('37.876225427244094', '-122.27546333546381')
('37.88070187154243', '-122.2927943404675')
('37.85824909303599', '-122.27646239289685')
('37.866165308179816', '-122.2544738580759')
('37.87855730886527', '-122.26207793676308')
('37.8733033603172', '-122.27929128003731')
('37.87271833759716', '-122.27991586906391')
('37.87981455843682', '-122.28935294382806')
('37.85259265838583', '-122.2759671241679')
('37.88147313827562', '-122.27549216991666')
('37.855840871620025', '-122.25803072911593')
('37.854343363733456', '-122.25879963171326')
('37.84139860800223', '-122.26182439836876')
('37.85258378747418', '-122.26452628894575')
('37.851491655969085', '-122.25320376064795')
('37.84901341182446', '-122.24998448254745')
('37.838530067325436', '-122.21923569577392')
('37.86131011129699', '-122.25331427684377')
('37.84680767441613', '-122.25936501419952')
('37.87424853532989', '-122.29307685106438')
('37.84485191003604', '-122.22074166462261')
('37.87964061701123', '-122.27507052218387')
('37.87633780491101', '-122.28637178089177')
('37.8500158963105', '-122.28893940564853')
('37.85921702417356', '-122.27181861568329')
('37.87989116160891', '-122.26593510211013')
('37.86145896613917', '-122.27506590338726')
('37.84504447751151', '-122.26983761723845')
('37.873225081099896', '-122.29311027499286')
('37.852671284170555', '-122.27331183260311')
('37.87883389394148', '-122.29377322983046')
('37.86992152902246', '-122.29065143240443')
('37.847380448271124', '-122.25651196798752')
('37.88583520075597', '-122.28867028710444')
('37.882545855796224', '-122.27891686653759')
('37.879844877155136', '-122.26207690661217')
('37.856224219373296', '-122.27323434856802')
('37.853261851857035', '-122.28513487295811')
('37.865102784125064', '-122.29409041985376')
('37.871272383549226', '-122.28277391188927')
('37.87162183079358', '-122.27407199836527')
('37.85509913503524', '-122.2729228283229')
('37.84515968188136', '-122.24397416146277')
('37.83794878215803', '-122.2593811956158')
('37.84925859854362', '-122.23275025836129')
('37.84490746773543', '-122.26455081008963')
('37.837881192038125', '-122.25278570002878')
('37.85052442279611', '-122.26885273521127')
('37.85240920851282', '-122.28447852826375')
('37.855894291104676', '-122.26267630453611')
('37.86979017552061', '-122.29484293380678')
('37.836024747278074', '-122.25348845939459')
('37.85743104525694', '-122.26424411080576')
('37.85419549447452', '-122.27492564809666')
('37.85508158602732', '-122.22031002815886')
('37.84092910439981', '-122.25478947250738')
('37.88036220623171', '-122.26788817830726')
('37.87253287619477', '-122.28972137871028')
('37.86529731308455', '-122.29011969665734')
('37.885903491632966', '-122.26556031945206')
('37.88858906737535', '-122.28294555121542')
('37.85448800983251', '-122.26223622291492')
('37.85509503900779', '-122.252803271134')
('37.846618330371385', '-122.2358362277857')
('37.84628836511166', '-122.26798542407207')
('37.87856692815874', '-122.25987944840497')
('37.859764821884525', '-122.24762693129514')
('37.844959463423145', '-122.27770051450192')
('37.85718226311961', '-122.24022500986804')
('37.832408951938525', '-122.2576461191205')
('37.866571388529366', '-122.26807100706375')
('37.83706488282927', '-122.28185870361537')
('37.84325601819173', '-122.29013257740604')
('37.86632777518833', '-122.28363298302055')
('37.843261615390546', '-122.28636113259797')
('37.869468384562964', '-122.24770485603442')
('37.84478183738167', '-122.27378734933039')
('37.87500179956665', '-122.28541006788049')
('37.85696730740066', '-122.24782632984893')
('37.8626201726234', '-122.26089940913528')
('37.83778490749941', '-122.28330823783966')
('37.88127915242379', '-122.26725468317869')
('37.85503584248267', '-122.27972623741422')
('37.87870432661301', '-122.26160270567777')
('37.833255245651884', '-122.25033159987416')
('37.867970152003686', '-122.28389686285932')
('37.887097271571314', '-122.267466298584')
('37.83428983728256', '-122.27071980493737')
('37.851933872699114', '-122.25328174068697')
('37.88090364619299', '-122.27220471573018')
('37.86045229511929', '-122.29141679970942')
('37.851464525097036', '-122.26975673937334')
('37.8553191184179', '-122.28224777103854')
('37.84801502426878', '-122.26904948222726')
('37.8518882218142', '-122.26727550004543')
('37.84555764352832', '-122.28321189702727')
('37.84697791417378', '-122.25339477248755')
('37.846055655759656', '-122.28857626739556')
('37.84719688416439', '-122.26616863357565')
('37.840566250214465', '-122.27067813765129')
('37.87627255738317', '-122.2838550847214')
('37.87521962189959', '-122.27748335005762')
('37.84983296818876', '-122.2763508247165')
('37.85408019752914', '-122.2596780579426')
('37.87189983134497', '-122.2810218180019')
('37.84504613884355', '-122.24858463010476')
('37.85608341930663', '-122.22098783209839')
('37.86687250317', '-122.29478811220316')
('37.85738830829741', '-122.28333571886569')
('37.84466439465321', '-122.26414115666672')
('37.853686529661346', '-122.28574828187774')
('37.876118797122786', '-122.29073233555054')
('37.846249711923036', '-122.2770951755859')
('37.83518499510153', '-122.27539292763014')
('37.843711365335736', '-122.25999195683725')
('37.86467427905567', '-122.2665117034565')
('37.830405022668', '-122.28567578356132')
('37.87381628131162', '-122.27232145328168')
('37.83426190556681', '-122.25726705078807')
('37.84043553238385', '-122.28519475842407')
('37.8525852215447', '-122.28651246669344')
('37.84175014246595', '-122.26084034068373')
('37.87381798322294', '-122.26481579800455')
('37.871551069324354', '-122.27330262606718')
('37.84574182323656', '-122.29267721324308')
('37.84570848487811', '-122.24941612724359')
('37.87502410069911', '-122.28359335528219')
('37.87944148417258', '-122.28207749803207')
('37.85400582540174', '-122.26142752992159')
('37.83100490224252', '-122.27802880630244')
('37.88001815239882', '-122.26316875750253')
('37.85376422205809', '-122.2740302726124')
('37.83408764715161', '-122.27355537028811')
('37.8641725045897', '-122.25058940026626')
('37.85341242370153', '-122.26277421230533')
('37.86530959080685', '-122.27602767995802')
('37.834018050322285', '-122.27245307249107')
('37.841543305622714', '-122.26599182967287')
('37.86576694493595', '-122.27761876375978')
('37.85756369533431', '-122.26205364156371')
('37.862480206915976', '-122.25630933762825')
('37.84576707621131', '-122.25911969158007')
